id,class,confidence,note,note_en
Z0040,false_alarm,low,"мутная разрушенная зона без ламинарной структуры; спор фоновый, широких провалов нет","murky destroyed zone with no laminar structure; the disagreement is background, no wide dropouts"
Z0041,model_artifact,low,"внутренние витки, рваные листы; трасса на своей ламине, m7 системно молчит (95% recto-only)","inner windings, ragged sheets; the trace is on its own lamina, m7 systematically silent (95% recto-only)"
Z0043,false_alarm,low,"редкие узлы зоны на срезах, мутная область; спор фоновый без структуры","sparse zone nodes on the slices, murky area; background disagreement with no structure"
Z0049,false_alarm,low,"трасса вдоль границы целого и мутного участков; поддержка смешанная, схода не видно","trace along the boundary between intact and murky areas; support is mixed, no departure visible"
Z0052,false_alarm,low,"мутная зона; поддержка смешанная (75% recto-only, есть m7-only/зелёные), трасса на месте","murky zone; support mixed (75% recto-only, some m7-only / green), the trace stays put"
Z0058,false_alarm,low,"ось складки и рваная граница; спор смешанный точечный, схода не видно","fold axis and a ragged boundary; mixed pointwise disagreement, no departure visible"
Z0060,model_artifact,low,трасса вдоль своей ламины; m7 молчит структурно (94% recto-only),trace along its own lamina; m7 silent structurally (94% recto-only)
Z0067,false_alarm,low,"смешанная поддержка (71% recto-only, много зелёных), мутные ламины; схода не видно","mixed support (71% recto-only, many green), murky laminae; no departure visible"
Z0068,model_artifact,low,чётко разделённые ламины; m7 молчит у ярких включений вдоль трассы (93% recto-only),clearly separated laminae; m7 silent near bright inclusions along the trace (93% recto-only)
Z0084,false_alarm,low,"мутные ламины/фланг складки; спор смешанный, трасса держит ламину","murky laminae / fold flank; mixed disagreement, the trace holds its lamina"
Z0087,model_artifact,low,"мутная зона; m7 выпадает вдоль трассы (87% recto-only), сход не виден","murky zone; m7 drops out along the trace (87% recto-only), no departure visible"
Z0095,false_alarm,low,"плотная упаковка/мутная зона; контакт от геометрии, спор смешанный","dense packing / murky zone; the contact is geometric, the disagreement mixed"
Z0099,false_alarm,low,"мутная зона у большого разрыва; редкие смешанные узлы, структуры спора нет","murky zone next to a large break; sparse mixed nodes, no structure to the disagreement"
Z0100,real_error,low,"у вершин шевронных складок трасса идёт мостиком через пустоту (CT тёмный), m7 следует реальным листам и молчит именно там; recto поддерживает мост — кандидат в switch/срез вершины складки","at the chevron-fold apices the trace bridges a void (CT dark), m7 follows the real sheets and is silent exactly there; recto supports the bridge - a candidate switch / cut fold apex"
Z0104,false_alarm,low,"разрушенные внутренние витки, обломки; спор смешанный, трасса следует уцелевшим дугам","destroyed inner windings, debris; mixed disagreement, the trace follows the surviving arcs"
Z0110,model_artifact,low,"трасса вдоль яркой повреждённой жилы; m7 молчит на ней (84% recto-only), сход не виден","trace along a bright damaged vein; m7 silent on it (84% recto-only), no departure visible"
Z0118,model_artifact,low,m7 молчит на участке трассы при живых соседних ламинах (97% recto-only),m7 silent on a stretch of the trace while the neighbouring laminae are alive (97% recto-only)
Z0120,model_artifact,low,"вертикальная цепочка вдоль ламины, m7 молчит кусками (81% recto-only); сход не виден","vertical chain along a lamina, m7 silent in patches (81% recto-only); no departure visible"
Z0125,false_alarm,low,"смешанная поддержка (79% recto-only, зелёные вперемешку), мутные зоны; трасса на ламине","mixed support (79% recto-only, green interspersed), murky zones; the trace stays on its lamina"
Z0129,false_alarm,low,редкие смешанные узлы у края складок; структуры спора нет,sparse mixed nodes at the fold edge; no structure to the disagreement
Z0130,false_alarm,low,"край складок, смешанные узлы вдоль ламины; структуры спора нет","fold edge, mixed nodes along the lamina; no structure to the disagreement"
Z0131,false_alarm,low,"вихревые складки, редкие смешанные узлы; структуры спора нет","swirling folds, sparse mixed nodes; no structure to the disagreement"
Z0134,model_artifact,low,"чистые параллельные ламины; m7 молчит на участке трассы (95% recto-only), на складке поддержка обоюдная","clean parallel laminae; m7 silent on a stretch of the trace (95% recto-only), on the fold the support is mutual"
Z0138,false_alarm,low,"мутные/повреждённые участки, редкие смешанные узлы; структуры спора нет","murky / damaged stretches, sparse mixed nodes; no structure to the disagreement"
Z0141,model_artifact,low,"цепочка вдоль яркой ламины у трещины; m7 молчит (92% recto-only), трасса на листе","chain along a bright lamina next to a crack; m7 silent (92% recto-only), the trace stays on the sheet"
Z0146,model_artifact,low,"параллельные ламины; цепочка вдоль своей ламины, m7 молчит кусками (90% recto-only)","parallel laminae; chain along its own lamina, m7 silent in patches (90% recto-only)"
Z0148,model_artifact,low,"диффузная каша без ламин; recto ведёт трассу, m7 молчит (91% recto-only)","diffuse mush with no laminae; recto leads the trace, m7 is silent (91% recto-only)"
Z0152,false_alarm,low,"складчато-мутная область; узлы редкие смешанные вдоль ламин, структуры спора нет","folded, murky area; nodes sparse and mixed along the laminae, no structure to the disagreement"
Z0157,false_alarm,low,"мутная зона; поддержка смешанная (75% recto-only, много жёлто-зелёных), трасса на месте","murky zone; support mixed (75% recto-only, many yellow-green), the trace stays put"
Z0162,false_alarm,low,"трасса пересекает широкую трещину, в разрыве узлы без поддержки обеих моделей; сход на чужой лист не доказан","trace crosses a wide crack, inside the break the nodes have no support from either model; a departure onto a foreign sheet is not demonstrated"
Z0169,model_artifact,low,"цепочка вдоль тёмного шва между ламинами; m7 молчит (94% recto-only), узлы на краю листа","chain along a dark seam between laminae; m7 silent (94% recto-only), nodes at the sheet edge"
Z0172,model_artifact,low,"внутренние рваные витки; трасса вдоль тонкой ламины, m7 молчит кусками (97% recto-only)","inner ragged windings; trace along a thin lamina, m7 silent in patches (97% recto-only)"
Z0173,false_alarm,low,"смешанная поддержка (77% recto-only, много зелёных), трасса вдоль ламин; структуры спора нет","mixed support (77% recto-only, many green), trace along the laminae; no structure to the disagreement"
Z0174,model_artifact,low,"параллельные ламины; m7 молчит на участке (99% recto-only), трасса на листе","parallel laminae; m7 silent on a stretch (99% recto-only), the trace stays on the sheet"
Z0178,false_alarm,low,"длинные цепочки вдоль ламин, поддержка смешанная (зелёные и оранжевые чередуются); схода нет","long chains along the laminae, support mixed (green and orange alternating); no departure"
Z0181,false_alarm,low,"складки и трещины; узлы редкие смешанные, структуры спора нет","folds and cracks; nodes sparse and mixed, no structure to the disagreement"
Z0183,model_artifact,low,трасса по краю ламины у широкого зазора; m7 молчит на кромке (94% recto-only),trace along a lamina edge next to a wide gap; m7 silent on the rim (94% recto-only)
Z0187,false_alarm,low,"ранг 9: шпилечная складка + раздробленная полоса; контакт листов настоящий геометрический, поддержка смешанная, сход трассы не виден","rank 9: hairpin fold + a shattered band; the sheet contact is a genuine geometric one, support mixed, no departure of the trace visible"
Z0198,model_artifact,low,"внутренние разрушенные витки; трасса по обломкам, m7 молчит на них (90% recto-only)","inner destroyed windings; trace over the debris, m7 silent on it (90% recto-only)"
Z0200,model_artifact,low,"рваные ламины; m7 молчит вдоль трасс (87% recto-only), сход не виден","ragged laminae; m7 silent along the traces (87% recto-only), no departure visible"
Z0203,model_artifact,low,горизонтальная цепочка вдоль ламины в мутной области; m7 молчит кусками (79% recto-only с зелёными),"horizontal chain along a lamina in a murky area; m7 silent in patches (79% recto-only, with green)"
Z0204,model_artifact,low,"дуги витков, трасса на своей дуге; m7 молчит на участке (95% recto-only)","winding arcs, the trace on its own arc; m7 silent on a stretch (95% recto-only)"
Z0206,model_artifact,low,"трасса по слабоконтрастной тонкой ламине в зазоре; recto видит её, m7 нет (98% recto-only)","trace along a faint thin lamina inside the gap; recto sees it, m7 does not (98% recto-only)"
Z0207,model_artifact,low,"цепочки вдоль ламин; m7 молчит кусками (97% recto-only), сход не виден","chains along the laminae; m7 silent in patches (97% recto-only), no departure visible"
Z0214,model_artifact,low,"внешние витки, цепочка вдоль ламины; m7 молчит (96% recto-only)","outer windings, chain along a lamina; m7 silent (96% recto-only)"
Z0218,false_alarm,low,"спор в обе стороны (56% recto-only, есть m7-only), соль-перец в мутной зоне; схода нет","disagreement in both directions (56% recto-only, some m7-only), salt-and-pepper in a murky zone; no departure"
Z0223,model_artifact,low,"шевронная складка, трасса держит свой лист; m7 молчит широкой полосой (93% recto-only), моста через пустоту не видно","chevron fold, the trace holds its own sheet; m7 silent over a wide band (93% recto-only), no bridge across the void visible"
Z0225,model_artifact,low,"плотные диагональные ламины; m7 молчит вдоль всей цепочки (93% recto-only), сход не виден","dense diagonal laminae; m7 silent along the whole chain (93% recto-only), no departure visible"
Z0228,false_alarm,low,"раскрошенный фланг складки; поддержка смешанная (78% recto-only, есть зелёные), структуры спора нет","crumbled fold flank; support mixed (78% recto-only, some green), no structure to the disagreement"
Z0238,model_artifact,low,"резкая шевронная складка; m7 молчит вдоль гребня (94% recto-only), обе трассы сходятся вместе, схода на другой лист не видно","sharp chevron fold; m7 silent along the crest (94% recto-only), the two traces converge together, no departure onto another sheet visible"
Z0239,model_artifact,low,"диагональные плотные ламины; m7 молчит кусками вдоль трассы (82% recto-only), сход не виден","dense diagonal laminae; m7 silent in patches along the trace (82% recto-only), no departure visible"
Z0243,model_artifact,low,"плотные диагональные ламины; m7 полностью молчит в зоне (100% recto-only), трасса держит свой лист","dense diagonal laminae; m7 wholly silent in the zone (100% recto-only), the trace holds its own sheet"
Z0244,model_artifact,low,"вихревое схождение ламин; m7 молчит широкой полосой (94% recto-only), трасса следует своей дуге","swirling convergence of laminae; m7 silent over a wide band (94% recto-only), the trace follows its own arc"
Z0247,model_artifact,low,"складки с тёмными зазорами между листами; m7 молчит вдоль трассы (91% recto-only), двухлистовой альтернативы не видно","folds with dark gaps between the sheets; m7 silent along the trace (91% recto-only), no two-sheet alternative visible"
Z0254,model_artifact,low,"волнистые тесные ламины; m7 молчит вдоль трассы (90% recto-only), сход не виден","wavy tight laminae; m7 silent along the trace (90% recto-only), no departure visible"
Z0272,model_artifact,low,"плотные диагональные ламины; m7 молчит широкой полосой (95% recto-only), трасса на своём листе","dense diagonal laminae; m7 silent over a wide band (95% recto-only), the trace stays on its own sheet"
Z0274,model_artifact,low,"изогнутые ламины у щели; m7 молчит фрагментами (79% recto-only), трасса на своём листе","curved laminae next to a slit; m7 silent in fragments (79% recto-only), the trace stays on its own sheet"
Z0276,model_artifact,low,"плавный изгиб ламин; m7 молчит вдоль цепочки (89% recto-only), сход не виден","gentle bend of the laminae; m7 silent along the chain (89% recto-only), no departure visible"
Z0277,model_artifact,low,"трасса вдоль края ламины у широкого зазора; m7 молчит на кромке (88% recto-only), схода на другой лист не видно","trace along a lamina edge next to a wide gap; m7 silent on the rim (88% recto-only), no departure onto another sheet visible"
Z0291,model_artifact,low,"чистые веерные ламины; m7 молчит почти повсеместно (97% recto-only), трасса держит свой лист","clean fanning laminae; m7 silent almost everywhere (97% recto-only), the trace holds its own sheet"
Z0293,model_artifact,low,"параллельные диагональные ламины; m7 молчит структурно (96% recto-only), сход не виден","parallel diagonal laminae; m7 silent structurally (96% recto-only), no departure visible"
Z0299,model_artifact,low,"диагональная цепочка вдоль текстурной ленты; m7 молчит кусками (87% recto-only), трасса на месте","diagonal chain along a textured ribbon; m7 silent in patches (87% recto-only), the trace stays put"
Z0303,model_artifact,low,"плотные диагональные ламины; m7 полностью молчит в зоне (100% recto-only), трасса держит свой лист","dense diagonal laminae; m7 wholly silent in the zone (100% recto-only), the trace holds its own sheet"
Z0308,model_artifact,low,"резкая шевронная складка; m7 молчит вдоль гребня (90% recto-only), схода на другой лист не видно","sharp chevron fold; m7 silent along the crest (90% recto-only), no departure onto another sheet visible"
Z0310,false_alarm,low,"гребень складки; спор смешанный точечный (74% recto-only, есть m7-only), трасса держит ламину","fold crest; mixed pointwise disagreement (74% recto-only, some m7-only), the trace holds its lamina"
Z0336,model_artifact,low,"складка с изломом у краевой пустоты; m7 молчит на сгибе (77% recto-only), схода на другой лист не видно","fold with a kink next to an edge void; m7 silent at the bend (77% recto-only), no departure onto another sheet visible"
Z0340,model_artifact,low,"трасса огибает мягкий изгиб ламины единым листом; m7 молчит вдоль дуги (94% recto-only), схода не видно","trace rounds a soft lamina bend as one sheet; m7 silent along the arc (94% recto-only), no departure visible"
Z0348,model_artifact,low,"лента вдоль параллельных ламин; m7 молчит структурно (92% recto-only), сход не виден","ribbon along parallel laminae; m7 silent structurally (92% recto-only), no departure visible"
Z0371,model_artifact,low,"трасса идёт по гребню волнообразной складки, держит один лист; m7 молчит широкой полосой (96% recto-only)","trace runs along the crest of an undulating fold, holding a single sheet; m7 silent over a wide band (96% recto-only)"
Z0372,model_artifact,low,"вершина шевронной складки, трасса держит непрерывный изгиб без разрыва; m7 молчит именно на сгибе (93% recto-only), двух разных листов не видно","apex of a chevron fold, the trace holds a continuous bend with no break; m7 silent exactly at the bend (93% recto-only), no two distinct sheets visible"
Z0383,model_artifact,low,"чистые параллельные ламины; m7 молчит вдоль трассы (97% recto-only), сход не виден","clean parallel laminae; m7 silent along the trace (97% recto-only), no departure visible"
Z0394,model_artifact,low,"трасса на своей диагональной ламине, соседняя складка не задета; m7 молчит структурно (92% recto-only)","trace on its own diagonal lamina, the neighbouring fold untouched; m7 silent structurally (92% recto-only)"
Z0403,model_artifact,low,"трасса держит одну вертикальную ламину на всех срезах; m7 молчит широко (96% recto-only), крайний срез шумный, но признаков смены листа нет","trace holds one vertical lamina on every slice; m7 broadly silent (96% recto-only), the outermost slice is noisy but shows no sign of a sheet change"
Z0409,model_artifact,low,"вертикальная лента вдоль ламины; m7 молчит структурно (96% recto-only), сход не виден","vertical ribbon along a lamina; m7 silent structurally (96% recto-only), no departure visible"
Z0410,model_artifact,low,"трасса идёт вдоль края ламины у пустоты; m7 молчит на повреждённом участке (88% recto-only), в соседний лист не переходит","trace runs along a lamina edge next to a void; m7 silent over the damaged stretch (88% recto-only), it does not cross into the neighbouring sheet"
Z0416,model_artifact,low,"чистые диагональные ламины; m7 молчит вдоль трассы (88% recto-only), сход не виден","clean diagonal laminae; m7 silent along the trace (88% recto-only), no departure visible"
Z0417,model_artifact,low,"плотные параллельные ламины; m7 молчит структурно вдоль всей цепочки (100% recto-only), трасса держит свой лист","dense parallel laminae; m7 silent structurally along the whole chain (100% recto-only), the trace holds its own sheet"
Z0427,false_alarm,low,"плотные складчатые/спиральные ламины; поддержка смешанная (зелёные вперемешку с оранжевыми у трассы), схода не видно","dense folded / spiral laminae; support mixed (green interspersed with orange near the trace), no departure visible"
Z0436,model_artifact,low,"чистые параллельные диагональные ламины; m7 молчит вдоль трассы (92% recto-only), сход не виден","clean parallel diagonal laminae; m7 silent along the trace (92% recto-only), no departure visible"
Z0440,model_artifact,low,"раскрошенный участок и веерный сгиб ламин; m7 молчит структурно (92% recto-only), двухлистовой альтернативы не видно","crumbled stretch and a fanning bend of the laminae; m7 silent structurally (92% recto-only), no two-sheet alternative visible"
Z0460,model_artifact,low,трасса огибает изгиб ламины сплошным листом у тёмного зазора; m7 молчит широкой полосой (87% recto-only),trace rounds a lamina bend as a continuous sheet next to a dark gap; m7 silent over a wide band (87% recto-only)
Z0468,model_artifact,low,"лента вдоль ламины у рваного повреждённого края; m7 молчит на кромке (85% recto-only), сход не виден","ribbon along a lamina at a ragged damaged edge; m7 silent on the rim (85% recto-only), no departure visible"
Z0470,false_alarm,low,трасса у трещины между участками; поддержка смешанная без структуры молчания одной модели,"trace next to a crack between areas; support mixed, with no structure of one model going silent"
Z0485,model_artifact,low,тесные ламины и складчатый гребень; m7 молчит структурно (92% recto-only) при точечной локальной поддержке,tight laminae and a folded crest; m7 silent structurally (92% recto-only) with pointwise local support
Z0502,model_artifact,low,"диагональная лента и вершина шевронной складки; m7 молчит вдоль гребня (89% recto-only), схода не видно","diagonal ribbon and the apex of a chevron fold; m7 silent along the crest (89% recto-only), no departure visible"
Z0514,model_artifact,low,"плотные параллельные диагональные ламины с тёмными зазорами; m7 молчит структурно вдоль трассы (92% recto-only), трасса держит свой лист","dense parallel diagonal laminae with dark gaps; m7 silent structurally along the trace (92% recto-only), the trace holds its own sheet"
Z0527,model_artifact,low,"чистые параллельные диагональные ламины; m7 молчит вдоль трассы (97% recto-only), сход не виден","clean parallel diagonal laminae; m7 silent along the trace (97% recto-only), no departure visible"
Z0544,model_artifact,low,"цепочка вдоль ламины в мутноватой зоне; m7 молчит кусками (83% recto-only), сход не виден","chain along a lamina in a somewhat murky zone; m7 silent in patches (83% recto-only), no departure visible"
Z0556,model_artifact,low,"волнистые/вихревые ламины; m7 молчит широкой полосой вдоль цепочки (91% recto-only), сход не виден","wavy / swirling laminae; m7 silent over a wide band along the chain (91% recto-only), no departure visible"
Z0560,model_artifact,low,"внутренние рваные ламины у зазора; m7 молчит структурно (95% recto-only), двухлистовой альтернативы не видно","inner ragged laminae next to a gap; m7 silent structurally (95% recto-only), no two-sheet alternative visible"
Z0561,model_artifact,low,"чистые параллельные диагональные ламины; m7 молчит вдоль трассы (93% recto-only), сход не виден","clean parallel diagonal laminae; m7 silent along the trace (93% recto-only), no departure visible"
Z0563,model_artifact,low,"складка с изломом ламин; m7 молчит на сгибе (77% recto-only), схода на другой лист не видно","fold with a kink in the laminae; m7 silent at the bend (77% recto-only), no departure onto another sheet visible"
Z0575,model_artifact,low,"разреженная цепочка вдоль ламины у края скана; m7 молчит на узлах (91% recto-only), сход не виден","sparse chain along a lamina at the scan edge; m7 silent on the nodes (91% recto-only), no departure visible"
Z0591,model_artifact,low,"вершина шевронной складки, трасса держит непрерывный изгиб; m7 молчит именно на сгибе (89% recto-only), двух листов не видно","apex of a chevron fold, the trace holds a continuous bend; m7 silent exactly at the bend (89% recto-only), no two sheets visible"
Z0629,model_artifact,low,"плотные диагональные ламины со сгущением узлов у сгиба; m7 молчит кусками (83% recto-only), схода не видно","dense diagonal laminae with nodes crowding at the bend; m7 silent in patches (83% recto-only), no departure visible"
Z0638,model_artifact,low,"трасса огибает мягкий изгиб ламины единым листом; m7 молчит вдоль дуги (96% recto-only), сход не виден","trace rounds a soft lamina bend as one sheet; m7 silent along the arc (96% recto-only), no departure visible"
Z0642,model_artifact,low,"нос складки у тёмной пустоты; recto и m7 местами молчат совместно, но трасса держит внешний лимб, перехода на другой борт не видно","fold nose next to a dark void; recto and m7 fall silent together in places, but the trace holds the outer limb, no crossing to the other limb visible"
Z0644,model_artifact,low,"трасса идёт через рваный край в чистые параллельные ламины; m7 молчит вдоль ленты (78% recto-only), сход не виден","trace runs through a ragged edge into clean parallel laminae; m7 silent along the ribbon (78% recto-only), no departure visible"
Z0657,model_artifact,low,"шевронная складка, гребень и нисходящий лимб; m7 молчит вдоль гребня и лимба (84% recto-only), двух разных листов не видно","chevron fold, crest and descending limb; m7 silent along crest and limb (84% recto-only), no two distinct sheets visible"
Z0661,model_artifact,low,"внутренние рваные витки; трасса по обломкам вдоль одной дуги, m7 молчит кусками (82% recto-only)","inner ragged windings; trace over the debris along a single arc, m7 silent in patches (82% recto-only)"
Z0680,model_artifact,low,"чистые параллельные диагональные ламины; m7 почти полностью молчит (98% recto-only), трасса держит свой лист","clean parallel diagonal laminae; m7 almost wholly silent (98% recto-only), the trace holds its own sheet"
Z0685,model_artifact,low,"трасса огибает волнообразную складку единым листом; m7 молчит широкой полосой (79% recto-only), схода не видно","trace rounds an undulating fold as one sheet; m7 silent over a wide band (79% recto-only), no departure visible"
Z0704,model_artifact,low,"трасса вдоль ламины у светлой волнистой прожилки; m7 молчит почти повсеместно (93% recto-only), сход не виден","trace along a lamina next to a bright wavy vein; m7 silent almost everywhere (93% recto-only), no departure visible"
Z0719,model_artifact,low,"чистые плотные параллельные ламины; m7 полностью молчит в зоне (100% recto-only), трасса держит свой лист","clean dense parallel laminae; m7 wholly silent in the zone (100% recto-only), the trace holds its own sheet"
Z0720,model_artifact,low,"нос рекумбентной складки у тёмного зазора; m7 теряется на изгибе (78% recto-only), трасса держит один непрерывный лист","nose of a recumbent fold next to a dark gap; m7 loses the bend (78% recto-only), the trace holds one continuous sheet"
Z0740,false_alarm,low,"чистые параллельные ламины без складки; поддержка смешанная (66% recto-only, есть m7-only и зелёные узлы), структуры одностороннего молчания нет","clean parallel laminae with no fold; support mixed (66% recto-only, some m7-only and green nodes), no structure of one-sided silence"
Z0749,model_artifact,low,"плотные диагональные ламины на двух срезах; m7 молчит вдоль цепочки узлов (77% recto-only), сход не виден","dense diagonal laminae on two slices; m7 silent along the chain of nodes (77% recto-only), no departure visible"
Z0766,model_artifact,low,"плотные диагональные ламины; m7 молчит вдоль цепочки узлов (74% recto-only), трасса держит свой лист","dense diagonal laminae; m7 silent along the chain of nodes (74% recto-only), the trace holds its own sheet"
Z0771,model_artifact,low,"плотные диагональные ламины; m7 полностью молчит в зоне (100% recto-only), трасса держит свой лист","dense diagonal laminae; m7 wholly silent in the zone (100% recto-only), the trace holds its own sheet"
